price,air__airline_Indigo,air__airline_Jet Airways,air__airline_Other,doj__date_of_journey_week,doj__date_of_journey_day_of_year,location__source,location__destination,dur__duration_rbf_25,dur__duration_cat,dur__duration_over_1000,dur__duration,stops__total_stops,stops__is_direct_flight
7832,0.0,1.0,0.0,0.17647058823529405,0.1694915254237288,-0.8579302780061735,-0.7364841788678915,-0.36426219153366024,2.0,0,-0.03391591517927909,1.0,0
6540,0.0,1.0,0.0,0.23529411764705876,0.22033898305084743,1.0654183331956164,1.0616943706377096,-0.36426219153366024,2.0,0,0.046421811262301285,1.0,0
7305,0.0,0.0,1.0,0.05882352941176472,0.06779661016949157,-0.8579302780061735,-0.7364841788678915,2.373007623092956,0.0,0,-0.9176309060366632,0.0,1
8366,0.0,0.0,0.0,0.8823529411764705,0.8728813559322035,-0.20392752453481047,-0.22435077863624375,-0.36426219153366024,2.0,0,-0.17450693645204476,1.0,0
11087,0.0,1.0,0.0,0.11764705882352944,0.09322033898305082,-0.8579302780061735,-0.7364841788678915,-0.36426219153366024,2.0,0,-0.21467579967283493,1.0,0
4544,0.0,1.0,0.0,0.4117647058823529,0.43220338983050854,-0.8579302780061735,-1.8388951667344635,-0.3642621799919354,1.0,0,-0.8975464744262681,0.0,1
7064,0.0,1.0,0.0,0.2941176470588235,0.2627118644067796,-0.20392752453481047,-0.22435077863624375,-0.36426219153366024,2.0,0,-0.09416921001046437,1.0,0
2647,0.0,0.0,1.0,0.8823529411764705,0.8983050847457628,-1.8921912797849618,-0.7364841788678915,-0.36426219153366024,0.0,0,-1.0883485747250214,0.0,1
12192,0.0,0.0,0.0,0.823529411764706,0.847457627118644,1.0654183331956164,1.0616943706377096,-0.36426219153366024,2.0,0,0.17697061672986938,1.0,0
15129,0.0,1.0,0.0,0.5882352941176471,0.5847457627118644,1.0654183331956164,1.0616943706377096,-0.36426219153366024,2.0,1,2.2657515042109595,2.0,0
13044,0.0,1.0,0.0,0.8823529411764705,0.8728813559322035,-0.20392752453481047,-0.22435077863624375,-0.36426219153366024,2.0,1,1.1410233340288338,1.0,0
7229,0.0,1.0,0.0,0.5882352941176471,0.5593220338983051,-0.8579302780061735,-1.8388951667344635,2.373007623092956,0.0,0,-0.9176309060366632,0.0,1
13292,0.0,1.0,0.0,0.9999999999999999,0.9745762711864407,1.0654183331956164,1.0616943706377096,-0.36426219153366024,2.0,1,1.3318254343275873,2.0,0
13727,0.0,0.0,0.0,0.6470588235294118,0.6355932203389831,1.0654183331956164,1.0616943706377096,-0.36426219153366024,2.0,0,-0.12429585742605702,1.0,0
10844,0.0,1.0,0.0,0.823529411764706,0.8220338983050848,-0.20392752453481047,-0.22435077863624375,-0.36426219153366024,2.0,1,2.0649071881070085,1.0,0
6416,1.0,0.0,0.0,0.23529411764705876,0.22033898305084743,1.0654183331956164,1.0616943706377096,-0.36426219153366024,2.0,0,-0.12429585742605702,1.0,0
7486,0.0,0.0,0.0,0.17647058823529405,0.19491525423728817,-0.8579302780061735,-0.7364841788678915,2.373007623092956,0.0,0,-0.9377153376470583,0.0,1
12767,0.0,1.0,0.0,0.17647058823529405,0.1694915254237288,1.0654183331956164,1.0616943706377096,-0.36426219153366024,2.0,0,0.3476882854182277,1.0,0
11789,0.0,0.0,0.0,0.8823529411764705,0.8983050847457628,1.0654183331956164,1.0616943706377096,-0.36426219153366024,2.0,0,-0.2247180154780325,1.0,0
5999,0.0,0.0,0.0,0.17647058823529405,0.1694915254237288,1.0654183331956164,1.0616943706377096,-0.36426219153366024,2.0,0,-0.1845491522572423,1.0,0
5694,1.0,0.0,0.0,0.05882352941176472,0.06779661016949157,-0.8579302780061735,-0.7364841788678915,-0.36426219153366024,1.0,0,-0.6866599425171196,1.0,0
14237,0.0,1.0,0.0,0.7647058823529412,0.7796610169491525,1.0654183331956164,1.0616943706377096,-0.36426219153366024,2.0,1,0.9200945863144878,2.0,0
3419,0.0,0.0,1.0,0.7058823529411765,0.7118644067796611,-0.8579302780061735,-1.8388951667344635,2.373007623092956,0.0,0,-0.9176309060366632,0.0,1
2017,0.0,0.0,1.0,0.9411764705882352,0.923728813559322,-1.8921912797849618,-0.7364841788678915,-0.36426219153366024,0.0,0,-1.0883485747250214,0.0,1
6878,0.0,0.0,0.0,0.7058823529411765,0.6864406779661016,1.0654183331956164,1.0616943706377096,-0.36426219153366024,2.0,0,-0.06404256259487173,1.0,0
5403,0.0,0.0,1.0,0.4117647058823529,0.3813559322033898,-0.8579302780061735,-1.8388951667344635,3.1124885239379285,0.0,0,-0.9276731218418608,0.0,1
12681,0.0,1.0,0.0,0.2941176470588235,0.2627118644067796,-0.20392752453481047,-0.22435077863624375,-0.36426219153366024,2.0,0,-0.08412699420526683,1.0,0
8372,0.0,0.0,0.0,0.7647058823529412,0.7372881355932204,1.0654183331956164,1.0616943706377096,-0.36426219153366024,2.0,1,1.5326697504315383,1.0,0
25703,0.0,0.0,0.0,0.0,0.0,-0.8579302780061735,-0.7364841788678915,2.373007623092956,0.0,0,-0.9377153376470583,0.0,1
16108,0.0,0.0,0.0,0.8823529411764705,0.8983050847457628,1.0654183331956164,1.0616943706377096,-0.36426219153366024,2.0,0,-0.15442250484164965,1.0,0
5678,0.0,1.0,0.0,0.8823529411764705,0.8983050847457628,-1.8921912797849618,-0.7364841788678915,-0.36426219153366024,0.0,0,-1.098390790530219,0.0,1
5678,0.0,1.0,0.0,0.7647058823529412,0.7796610169491525,-1.8921912797849618,-0.7364841788678915,-0.36426219153366024,0.0,0,-1.098390790530219,0.0,1
8452,0.0,0.0,1.0,0.6470588235294118,0.6355932203389831,-0.20392752453481047,-0.22435077863624375,-0.36426219153366024,2.0,0,0.26735055897664733,1.0,0
12346,0.0,0.0,0.0,0.0,0.0,-0.8579302780061735,-0.7364841788678915,-0.36426219153366024,2.0,1,2.3963003096785274,3.0,0
7155,0.0,0.0,0.0,0.8823529411764705,0.8728813559322035,1.0654183331956164,1.0616943706377096,-0.36426219153366024,2.0,0,0.4581526592754007,1.0,0
4804,1.0,0.0,0.0,0.5294117647058824,0.5169491525423728,-0.20392752453481047,-0.22435077863624375,-0.3642621799919354,0.0,0,-0.9577997692574535,0.0,1
13875,0.0,0.0,0.0,0.05882352941176472,0.0423728813559322,1.0654183331956164,1.0616943706377096,-0.36426219153366024,2.0,0,0.42802601185980804,1.0,0
4423,0.0,0.0,1.0,0.5294117647058824,0.5169491525423728,-0.8579302780061735,-1.8388951667344635,3.1124885239379285,0.0,0,-0.9276731218418608,0.0,1
16289,0.0,1.0,0.0,0.05882352941176472,0.06779661016949157,1.0654183331956164,1.0616943706377096,-0.36426219153366024,2.0,1,1.5728386136523285,1.0,0
8855,1.0,0.0,0.0,0.0,0.016949152542372947,-0.8579302780061735,-0.7364841788678915,2.373007623092956,0.0,0,-0.9176309060366632,0.0,1
5769,0.0,1.0,0.0,0.9999999999999999,1.0,-0.8579302780061735,-1.8388951667344635,2.373007623092956,0.0,0,-0.9176309060366632,0.0,1
6883,0.0,0.0,0.0,0.23529411764705876,0.22033898305084743,1.0654183331956164,1.0616943706377096,-0.36426219153366024,2.0,0,-0.3050557419196129,1.0,0
11598,0.0,0.0,1.0,0.17647058823529405,0.14406779661016955,-0.8579302780061735,-0.7364841788678915,2.373007623092956,0.0,0,-0.9176309060366632,0.0,1
